date, pm25, pm10, o3, no2, so2, co
2023/8/17, 73, 38, 22, 32, 3, 13
2023/8/18, 78, 38, 21, 35, 2, 13
2023/8/19, 118, 32, 15, 26, 2, 12
2023/8/20, 122, 37, 16, 53, 2, 11
2023/8/21, 68, 46, 14, 47, 2, 11
2023/8/22, 55, 45, 13, 34, 3, 13
2023/8/23, 60, 46, 14, , 3, 14
2023/8/24, 94, 47, 12, , 2, 15
2023/8/25, 107, 44, 13, , 3, 15
2023/8/26, 59, 35, 13, , 2, 14
2023/8/27, 94, 29, 12, , 3, 14
2023/8/28, 73, 29, 12, , 3, 15
2023/8/29, 116, 25, 9, , 2, 13
2023/8/30, 104, 20, 9, 18, 2, 13
2023/8/31, 78, 20, 10, 21, 3, 13
2023/9/1, 74, 26, 10, 12, 2, 12
2023/9/2, 55, 29, 9, 9, 2, 11
2023/9/3, 53, 25, 9, 14, 3, 11
2023/9/4, 167, 23, 8, 17, 3, 12
2023/9/5, 121, 26, 12, 21, 3, 14
2023/9/6, 90, 37, 11, 15, 2, 13
2023/9/7, 60, 29, 10, 11, 2, 11
2023/9/8, 53, 30, 9, 12, 2, 12
2023/9/9, 49, 27, 11, 8, 2, 11
2023/9/10, 49, 28, 9, 10, 2, 11
2023/9/11, 49, 33, 9, 12, 3, 12
2023/9/12, 48, 27, 9, 13, 3, 12
2023/9/13, 51, 27, 11, 17, 3, 14
2023/9/14, 55, 31, 13, 19, 3, 14
2023/9/15, 55, 31, 10, 15, 3, 14
2023/9/16, 54, 28, 8, 9, 2, 13
2023/9/17, 51, 24, 8, 10, 3, 13
2023/9/18, 48, 26, 8, 13, 3, 13
2023/9/19, 51, 27, 9, 15, 3, 14
2023/9/20, 60, 25, 10, 18, 3, 14
2023/9/21, 65, 29, 12, 27, 4, 17
2023/9/22, 73, 34, 10, 32, 4, 20
2023/9/23, 87, 38, 11, 23, 4, 17
2023/9/24, 96, 37, 8, 22, 4, 16
2023/9/25, 106, 42, 8, 20, 3, 16
2023/9/26, 170, 41, 8, 21, 3, 16
2023/9/27, 127, 27, 6, 16, 3, 15
2023/9/28, 130, 27, 8, 20, 3, 18
2023/9/29, 71, 31, 7, 13, 3, 12
2023/9/30, 64, 22, 7, 8, 3, 15
2023/4/12, 37, 22, , 41, 1, 
2023/4/13, 57, 28, 24, 56, 1, 
2023/4/14, 55, 28, 13, 31, 1, 
2023/4/15, 51, 29, 10, 32, 1, 
2023/4/16, 53, 29, 12, 37, 1, 
2023/4/17, 57, 29, 13, 48, 2, 
2023/4/18, 73, 41, 10, 63, 1, 
2023/4/19, 55, 30, 9, 49, 1, 
2023/4/20, 58, 21, 9, 45, 1, 
2023/4/21, 49, 19, 10, 35, 1, 
2023/4/22, 57, 24, 11, 45, 1, 
2023/4/23, 60, 28, 10, 33, 1, 
2023/4/24, 59, 31, 13, 54, 1, 
2023/4/25, 56, 31, 8, 31, , 
2023/4/26, 52, 17, 7, 24, 1, 
2023/4/27, 52, 7, 7, 46, 1, 
2023/4/28, 40, , 10, 31, 1, 
2023/4/29, 40, , 11, 33, 1, 
2023/4/30, 55, , 11, 55, 1, 
2023/5/1, 74, , 11, 65, 1, 
2023/5/2, 83, 60, 11, 59, 1, 13
2023/5/3, 78, 47, 12, 43, 1, 11
2023/5/4, 59, 26, 8, 38, , 11
2023/5/5, 61, 22, 7, 49, 1, 11
2023/5/6, 61, 26, 8, 35, 1, 11
2023/5/12, 49, 38, 6, 31, 1, 6
2023/5/13, 55, 34, 8, 33, 1, 7
2023/5/14, 56, 30, 9, 32, 1, 7
2023/5/15, 73, 37, 10, 75, 1, 11
2023/5/16, 100, 54, 9, 70, 2, 12
2023/5/17, 74, 46, 9, 37, 1, 9
2023/5/18, 66, 39, 8, 39, 1, 9
2023/5/19, 58, 28, 9, 28, 1, 9
2023/5/20, 52, 31, 9, 35, 1, 10
2023/5/21, 57, 34, 9, 36, 1, 10
2023/5/22, 71, 40, 8, 41, 1, 11
2023/5/23, 64, 46, 8, 13, 1, 10
2023/5/24, 58, 31, 8, 41, 1, 12
2023/5/25, 59, 33, 10, 42, 1, 12
2023/5/26, 63, 39, 10, 44, 2, 13
2023/5/27, 64, 45, 9, 48, 2, 14
2023/5/28, 58, 41, 8, 28, 2, 12
2023/5/29, 55, 34, 8, 35, 2, 13
2023/5/30, 54, 28, 7, 44, 2, 14
2023/5/31, 72, 35, 11, 57, 2, 15
2023/6/1, 73, 48, 11, 54, 2, 15
2023/6/2, 69, 47, 8, 58, 2, 16
2023/6/3, 68, 38, 10, 40, 16, 15
2023/6/4, 63, 32, 9, 33, 55, 14
2023/6/5, 46, 23, 8, 39, 32, 14
2023/6/6, 55, 35, 9, 40, 27, 15
2023/6/7, 60, 44, 11, 42, 16, 15
2023/6/8, 72, 50, 11, 41, 4, 12
2023/6/9, 74, 39, 12, 44, 13, 13
2023/6/10, 68, 35, 12, 45, 11, 14
2023/6/11, 56, 30, 12, 34, 9, 13
2023/6/12, 59, 34, 11, 46, 11, 14
2023/6/13, 56, 36, 9, 41, 11, 14
2023/6/14, 53, 35, 9, 39, 9, 13
2023/6/15, 54, 32, 8, 48, 9, 14
2023/6/16, 64, 33, 10, 54, 9, 14
2023/6/17, 64, 29, 28, 43, 11, 15
2023/6/18, 67, 26, 30, 32, 11, 14
2023/6/19, 61, 23, 34, 30, 9, 13
2023/6/20, 60, 28, 31, 46, 8, 15
2023/6/21, 57, 27, 28, 42, 7, 14
2023/6/22, 58, 31, 22, 52, 7, 14
2023/6/23, 73, 39, 24, 57, 6, 16
2023/6/24, 73, 38, 26, 57, 5, 16
2023/6/25, 70, 37, 28, 42, 6, 16
2023/6/26, 62, 34, 22, 41, 6, 16
2023/6/27, 55, 29, 18, 32, 6, 15
2023/6/28, 51, 25, 19, 26, 5, 16
2023/6/29, 54, 24, 18, 37, 5, 17
2023/6/30, 46, 22, 17, 23, 6, 15
2023/1/2, 163, 76, 8, 94, 3, 46
2023/1/3, 179, 50, 8, 81, 3, 45
2023/1/4, 184, 9, 6, 59, 3, 36
2023/1/5, 157, 9, 8, 81, 2, 44
2023/1/6, 172, 9, 9, 67, 3, 39
2023/1/7, 166, 9, 10, 61, 2, 40
2023/1/8, 155, 9, 12, 76, 1, 42
2023/1/9, 155, 9, 13, 34, 2, 36
2023/1/10, 143, 9, 12, 52, 1, 36
2023/1/11, 72, 9, 9, 76, 1, 43
2023/1/12, 113, , 6, 75, 1, 49
2023/1/13, 168, , 3, 64, 3, 40
2023/1/14, 119, , 7, 56, 1, 43
2023/1/15, 155, , 8, 65, 1, 45
2023/1/16, 159, , 13, 25, 1, 34
2023/1/17, 135, 12, 13, 14, 1, 25
2023/1/18, 56, 20, 13, 19, 1, 36
2023/1/19, 51, 22, 12, 25, 2, 37
2023/1/20, 52, 28, 11, 30, 1, 39
2023/1/21, 75, 32, 10, 34, 2, 40
2023/1/22, 74, 43, 10, 78, 3, 50
2023/1/23, 138, 64, 8, 46, 4, 44
2023/1/24, 151, 67, 7, 28, 3, 39
2023/1/25, 108, 57, 9, 38, 3, 42
2023/1/26, 99, 44, 10, 50, 2, 42
2023/1/27, 92, 22, 8, 56, 2, 45
2023/1/28, 97, 39, 8, 39, 3, 47
2023/1/29, 128, 37, 9, 38, 3, 42
2023/1/30, 63, 45, 12, 41, 4, 43
2023/1/31, 75, 34, 12, 38, 2, 41
2023/2/1, 64, 37, 10, 51, 2, 47
2023/2/2, 97, 41, 8, 42, 3, 45
2023/2/3, 108, 35, 9, 41, 2, 46
2023/2/4, 94, 29, 9, 32, 2, 46
2023/2/5, 101, 18, 11, 18, , 41
2023/2/6, 25, 18, 10, 31, 1, 41
2023/2/7, 35, 25, 11, 25, 1, 42
2023/2/8, 47, 24, 11, 29, 1, 42
2023/2/9, 45, 28, 11, 30, 2, 42
2023/2/10, 53, 32, 12, 25, 2, 42
2023/2/11, 54, 42, 13, 32, 3, 43
2023/2/12, 67, 46, 12, 28, 3, 43
2023/2/13, 70, 39, 13, 41, 4, 45
2023/2/14, 63, 41, 10, 24, 2, 43
2023/2/15, 66, 34, 10, 34, 3, 41
2023/2/16, 53, 48, 12, 50, 3, 51
2023/2/17, 115, 33, 10, 16, 2, 48
2023/2/18, 110, , 10, 9, 2, 46
